Date,Open,High,Low,Close,Volume
23-Aug-17,168.35,169.64,166.70,169.06,4632256
22-Aug-17,167.76,169.93,167.04,169.34,4886326
21-Aug-17,166.91,168.99,164.23,166.76,6480708
18-Aug-17,165.95,169.97,165.80,166.54,7385736
17-Aug-17,169.23,170.58,165.72,166.09,5229188
16-Aug-17,167.50,170.50,166.25,169.98,7013557
15-Aug-17,171.53,171.88,168.25,168.50,5656064
14-Aug-17,169.80,172.45,168.80,171.00,7468408
11-Aug-17,169.86,172.58,169.00,171.40,5022334
10-Aug-17,174.03,174.45,167.60,169.14,9693057
9-Aug-17,171.43,175.96,170.01,175.78,9670502
8-Aug-17,181.37,181.91,177.45,178.36,6104043
7-Aug-17,181.00,182.27,179.10,181.33,4609788
4-Aug-17,179.60,181.00,178.50,180.27,4491055
3-Aug-17,180.53,181.22,178.02,179.23,4627732
2-Aug-17,182.22,182.57,177.81,180.74,5771336
1-Aug-17,182.49,184.62,181.43,182.03,5112707
31-Jul-17,184.26,184.97,180.65,181.66,4883606
28-Jul-17,182.00,185.03,181.18,184.04,6201947
27-Jul-17,189.89,190.00,179.38,182.68,11220982
26-Jul-17,187.70,189.70,187.51,189.08,4479290
25-Jul-17,187.79,188.66,185.81,186.97,5374472
24-Jul-17,188.68,190.25,187.01,187.91,8797260
21-Jul-17,182.72,191.50,182.71,188.54,9277448
20-Jul-17,183.84,185.92,182.70,183.60,7907182
19-Jul-17,182.97,187.17,181.75,183.86,17344321
18-Jul-17,176.12,185.00,174.24,183.60,41587395
17-Jul-17,162.91,163.55,160.02,161.70,17496685
14-Jul-17,159.30,161.35,157.97,161.12,5549221
13-Jul-17,158.51,160.13,156.98,158.21,6700052
12-Jul-17,155.77,158.80,155.77,158.75,8481779
11-Jul-17,152.37,155.23,151.55,154.33,4898645
10-Jul-17,150.34,153.23,149.65,152.67,5360606
7-Jul-17,146.65,150.75,146.65,150.18,5561263
6-Jul-17,146.13,147.27,144.25,146.25,5486482
5-Jul-17,146.58,148.26,145.58,147.61,4627803
3-Jul-17,149.80,150.45,145.80,146.17,3908215
30-Jun-17,149.76,150.71,148.42,149.41,5213315
29-Jun-17,152.82,152.82,148.00,150.09,7142462
28-Jun-17,151.64,154.20,150.12,153.41,5589883
27-Jun-17,156.62,156.98,150.72,151.03,7424252
26-Jun-17,158.78,159.97,156.56,157.50,6015974
23-Jun-17,155.01,158.19,153.76,158.02,6250761
22-Jun-17,155.13,155.20,153.70,154.89,3769167
21-Jun-17,152.50,155.38,152.26,155.03,5803446
20-Jun-17,153.68,154.50,151.40,152.05,4878673
19-Jun-17,154.29,155.58,152.41,153.40,6544298
16-Jun-17,151.45,153.53,150.39,152.38,6909705
15-Jun-17,149.44,152.56,147.30,151.76,7319746
14-Jun-17,154.34,155.62,150.28,152.20,6461758
13-Jun-17,154.38,155.68,150.13,152.72,8484746
12-Jun-17,155.30,155.53,148.31,151.44,14114477
9-Jun-17,166.27,166.27,154.50,158.03,10291954
8-Jun-17,166.12,166.87,164.84,165.88,3719102
7-Jun-17,165.60,166.40,164.41,165.61,3353099
6-Jun-17,164.95,166.82,164.51,165.17,4382092
5-Jun-17,165.49,165.50,163.43,165.06,3875174
2-Jun-17,163.42,165.36,162.80,165.18,4259081
1-Jun-17,163.52,163.93,161.70,162.99,3896317
31-May-17,163.61,164.00,160.74,163.07,5328919
30-May-17,163.60,164.75,162.71,163.22,4828637
26-May-17,162.84,163.05,161.12,162.43,4834291
25-May-17,161.00,164.10,160.55,163.05,8560961
24-May-17,158.35,158.48,157.17,157.75,2989797
23-May-17,157.75,158.31,156.80,157.95,3370930
22-May-17,157.86,158.60,156.43,157.16,3744055
19-May-17,156.15,158.05,155.91,157.02,4091486
18-May-17,153.61,156.89,153.24,155.70,6802670
17-May-17,158.09,158.78,153.00,153.20,8184483
16-May-17,160.50,161.18,159.33,159.41,3464912
15-May-17,160.25,161.78,159.76,160.02,4971954
12-May-17,159.11,160.84,158.51,160.81,5092885
11-May-17,160.33,160.52,157.55,158.54,5677360
10-May-17,157.82,161.10,156.56,160.28,6869879
9-May-17,156.10,157.85,155.97,157.46,3911027
8-May-17,156.55,157.64,155.30,156.38,4818794
5-May-17,158.55,158.59,155.90,156.60,5341735
4-May-17,155.59,157.90,154.55,157.25,5582330
